season,date,home_team,visitor,score_home,score_visitor,open_total,close_total,open_spread,close_spread,ml_home,ml_visitor,line_quality
2007-08,906,Indianapolis,NewOrleans,41,10,50.5,52.5,5.5,5.5,-240.0,200.0,0
2007-08,909,HoustonTexans,KansasCity,20,3,0.0,37.5,38.5,3.0,-200.0,170.0,2
2007-08,909,Buffalo,Denver,14,15,3.0,3.0,37.0,38.5,150.0,-170.0,1
2007-08,909,Cleveland,Pittsburgh,7,34,4.5,5.0,37.5,36.0,195.0,-235.0,1
2007-08,909,Jacksonville,Tennessee,10,13,37.5,39.5,6.5,7.5,-350.0,290.0,0
2007-08,909,St.Louis,Carolina,13,27,43.0,43.0,1.0,2.5,-125.0,105.0,0
2007-08,909,GreenBay,Philadelphia,16,13,3.0,3.0,43.0,41.5,160.0,-190.0,1
2007-08,909,Minnesota,Atlanta,24,3,36.0,34.0,2.5,3.0,-170.0,150.0,0
2007-08,909,Washington,Miami,16,13,36.0,34.0,3.0,3.0,-175.0,155.0,0
2007-08,909,NYJets,NewEngland,14,38,6.5,6.0,40.5,41.5,220.0,-260.0,1
2007-08,909,Seattle,TampaBay,20,6,41.0,41.0,6.0,6.0,-275.0,235.0,0
2007-08,909,SanDiego,Chicago,14,3,43.0,43.0,6.5,7.0,-325.0,275.0,0
2007-08,909,Oakland,Detroit,21,36,39.0,39.5,2.5,2.5,-160.0,140.0,0
2007-08,909,Dallas,NYGiants,45,35,44.0,43.5,4.0,6.5,-270.0,230.0,0
2007-08,910,Cincinnati,Baltimore,27,20,40.0,40.0,3.0,3.0,-145.0,125.0,0
2007-08,910,SanFrancisco,Arizona,20,17,47.0,47.0,3.0,3.5,-200.0,170.0,0
2007-08,916,Pittsburgh,Buffalo,26,3,37.0,40.0,7.5,10.0,-500.0,400.0,0
2007-08,916,Cleveland,Cincinnati,51,45,6.0,7.0,41.5,41.5,285.0,-335.0,1
2007-08,916,Tennessee,Indianapolis,20,22,7.0,6.5,47.0,45.0,265.0,-315.0,1
2007-08,916,Carolina,HoustonTexans,21,34,37.5,38.0,6.0,6.5,-290.0,240.0,0
2007-08,916,St.Louis,SanFrancisco,16,17,45.0,44.0,3.0,3.0,-160.0,140.0,0
2007-08,916,NYGiants,GreenBay,13,35,38.0,39.5,1.5,3.0,-155.0,135.0,0
2007-08,916,Jacksonville,Atlanta,13,7,35.0,34.5,10.0,10.0,-525.0,425.0,0
2007-08,916,TampaBay,NewOrleans,31,14,3.0,5.5,42.0,41.0,220.0,-260.0,1
2007-08,916,Detroit,Minnesota,20,17,40.0,43.5,3.5,3.0,-175.0,155.0,0
2007-08,916,Miami,Dallas,20,37,4.0,3.0,39.0,39.0,155.0,-175.0,1
2007-08,916,Arizona,Seattle,23,20,3.0,2.5,45.0,42.5,125.0,-145.0,1
2007-08,916,Baltimore,NYJets,20,13,34.0,32.5,12.5,9.0,-475.0,395.0,0
2007-08,916,Denver,Oakland,23,20,37.0,37.0,9.5,9.5,-500.0,400.0,0
2007-08,916,Chicago,KansasCity,20,10,36.0,35.5,12.5,11.5,-625.0,500.0,0
2007-08,916,NewEngland,SanDiego,38,14,47.0,46.0,4.0,3.5,-200.0,170.0,0
2007-08,917,Philadelphia,Washington,12,20,41.0,39.0,7.0,6.5,-300.0,250.0,0
2007-08,923,HoustonTexans,Indianapolis,24,30,5.5,6.5,48.0,46.0,260.0,-310.0,1
2007-08,923,GreenBay,SanDiego,31,24,4.0,5.5,46.0,42.5,235.0,-275.0,1
2007-08,923,KansasCity,Minnesota,13,10,33.0,34.5,1.5,3.0,-165.0,145.0,0
2007-08,923,Philadelphia,Detroit,56,21,44.0,44.5,6.5,4.5,-230.0,190.0,0
2007-08,923,NewEngland,Buffalo,38,7,42.0,41.0,16.5,16.5,-2200.0,1350.0,4
2007-08,923,NYJets,Miami,31,28,35.5,36.5,3.0,3.0,-175.0,155.0,0
2007-08,923,Pittsburgh,SanFrancisco,37,16,37.0,37.5,8.0,10.0,-600.0,475.0,0
2007-08,923,Baltimore,Arizona,26,23,35.0,36.0,7.5,7.0,-330.0,280.0,0
2007-08,923,TampaBay,St.Louis,24,3,38.0,39.0,3.0,3.5,-190.0,160.0,0
2007-08,923,Denver,Jacksonville,14,23,35.5,36.0,3.0,3.5,-200.0,170.0,0
2007-08,923,Seattle,Cincinnati,24,21,49.0,49.0,3.0,3.0,-175.0,155.0,0
2007-08,923,Oakland,Cleveland,26,24,37.0,41.5,3.0,3.0,-160.0,140.0,0
2007-08,923,Atlanta,Carolina,20,27,4.0,4.0,36.5,38.0,190.0,-230.0,1
2007-08,923,Washington,NYGiants,17,24,41.0,42.0,3.5,3.5,-205.0,175.0,0
2007-08,923,Chicago,Dallas,10,34,43.5,41.5,3.0,3.0,-160.0,140.0,0
2007-08,924,NewOrleans,Tennessee,14,31,45.5,46.0,5.0,4.5,-235.0,195.0,0
2007-08,930,Miami,Oakland,17,35,40.0,39.5,4.0,3.5,-200.0,170.0,0
2007-08,930,Atlanta,HoustonTexans,26,16,3.0,2.5,39.5,39.5,120.0,-140.0,1
2007-08,930,Cleveland,Baltimore,27,13,4.5,3.5,38.0,40.0,160.0,-190.0,1
2007-08,930,Detroit,Chicago,37,27,3.0,2.5,44.0,46.0,120.0,-140.0,1
2007-08,930,Minnesota,GreenBay,16,23,1.0,38.0,40.0,0.0,-105.0,-115.0,2
2007-08,930,Dallas,St.Louis,35,7,45.0,47.0,11.0,13.0,-800.0,600.0,0
2007-08,930,Buffalo,NYJets,17,14,4.5,3.0,37.0,37.5,170.0,-200.0,1
2007-08,930,Carolina,TampaBay,7,20,39.5,38.5,3.0,3.0,-155.0,135.0,0
2007-08,930,SanFrancisco,Seattle,3,23,2.0,1.5,41.5,40.0,105.0,-125.0,1
2007-08,930,Arizona,Pittsburgh,21,14,4.0,5.5,40.0,42.5,200.0,-240.0,1
2007-08,930,SanDiego,KansasCity,16,30,40.0,39.0,12.5,12.5,-1000.0,700.0,0
2007-08,930,Indianapolis,Denver,38,20,46.0,46.5,9.5,10.0,-550.0,450.0,0
2007-08,930,NYGiants,Philadelphia,16,3,3.0,2.0,48.0,47.5,110.0,-130.0,1
2007-08,1001,Cincinnati,NewEngland,13,34,6.0,7.5,52.0,54.0,300.0,-360.0,1
2007-08,1007,NewOrleans,Carolina,13,16,45.0,43.5,2.5,3.5,-200.0,170.0,0
2007-08,1007,KansasCity,Jacksonville,7,17,2.0,2.0,34.0,35.5,110.0,-130.0,1
2007-08,1007,Washington,Detroit,34,3,45.5,44.5,3.0,3.5,-200.0,170.0,0
2007-08,1007,Tennessee,Atlanta,20,13,40.0,41.5,8.0,7.0,-325.0,275.0,0
2007-08,1007,HoustonTexans,Miami,22,19,42.5,43.5,5.5,4.5,-215.0,185.0,0
2007-08,1007,Pittsburgh,Seattle,21,0,39.5,41.0,6.0,5.0,-230.0,190.0,0
2007-08,1007,NewEngland,Cleveland,34,17,47.5,48.0,16.5,15.5,-1600.0,1050.0,0
2007-08,1007,St.Louis,Arizona,31,34,3.0,3.5,41.0,40.0,170.0,-200.0,1
2007-08,1007,NYGiants,NYJets,35,24,42.0,41.0,3.0,3.5,-205.0,175.0,0
2007-08,1007,Indianapolis,TampaBay,33,14,47.0,44.5,10.0,8.5,-425.0,355.0,0
2007-08,1007,Denver,SanDiego,3,41,41.5,1.5,2.0,43.5,105.0,-125.0,1
2007-08,1007,SanFrancisco,Baltimore,7,9,3.5,4.0,35.5,34.5,185.0,-215.0,1
2007-08,1007,GreenBay,Chicago,20,27,41.0,40.5,3.5,3.0,-190.0,160.0,0
2007-08,1008,Buffalo,Dallas,24,25,11.5,11.5,45.0,44.0,475.0,-600.0,1
2007-08,1014,KansasCity,Cincinnati,27,20,3.0,2.5,41.5,44.0,120.0,-140.0,1
2007-08,1014,Jacksonville,HoustonTexans,37,17,37.0,37.0,6.5,6.0,-300.0,250.0,0
2007-08,1014,Cleveland,Miami,41,31,44.0,45.0,5.5,3.5,-190.0,160.0,0
2007-08,1014,Chicago,Minnesota,31,34,37.5,35.5,6.0,5.0,-240.0,200.0,0
2007-08,1014,NYJets,Philadelphia,9,16,3.0,4.0,41.0,43.5,200.0,-240.0,1
2007-08,1014,Baltimore,St.Louis,22,3,38.0,36.5,9.5,9.0,-450.0,370.0,0
2007-08,1014,TampaBay,Tennessee,13,10,38.0,37.0,3.0,2.0,-130.0,110.0,0
2007-08,1014,GreenBay,Washington,17,14,41.0,40.5,3.5,3.0,-160.0,140.0,0
2007-08,1014,Arizona,Carolina,10,25,40.0,38.5,4.5,6.0,-270.0,230.0,0
2007-08,1014,Dallas,NewEngland,27,48,3.5,4.5,52.0,52.0,200.0,-240.0,1
2007-08,1014,SanDiego,Oakland,28,14,44.5,44.0,10.0,9.5,-500.0,400.0,0
2007-08,1014,Seattle,NewOrleans,17,28,41.5,43.0,7.0,5.5,-250.0,210.0,0
2007-08,1015,Atlanta,NYGiants,10,31,3.0,5.0,43.0,43.5,205.0,-245.0,1
2007-08,1021,Washington,Arizona,21,19,38.0,35.5,6.0,8.0,-375.0,315.0,0
2007-08,1021,NewOrleans,Atlanta,22,16,43.0,42.5,9.0,7.5,-350.0,290.0,0
2007-08,1021,Buffalo,Baltimore,19,14,3.0,3.0,34.0,33.5,125.0,-145.0,1
2007-08,1021,Dallas,Minnesota,24,14,46.0,45.5,10.0,9.0,-425.0,355.0,0
2007-08,1021,Miami,NewEngland,28,49,13.5,15.5,51.0,50.0,1100.0,-1700.0,1
2007-08,1021,NYGiants,SanFrancisco,33,15,40.0,39.0,9.0,9.5,-525.0,425.0,0
2007-08,1021,Detroit,TampaBay,23,16,44.0,45.0,2.0,2.5,-140.0,120.0,0
2007-08,1021,HoustonTexans,Tennessee,36,38,38.5,37.5,3.0,2.5,-140.0,120.0,0
2007-08,1021,Oakland,KansasCity,10,12,38.0,37.5,3.0,2.0,-135.0,115.0,0
2007-08,1021,Cincinnati,NYJets,38,31,47.0,48.5,6.0,5.5,-245.0,205.0,0
2007-08,1021,Philadelphia,Chicago,16,19,41.5,42.0,6.0,5.5,-240.0,200.0,0
2007-08,1021,Seattle,St.Louis,33,6,40.0,39.0,9.5,7.5,-325.0,275.0,0
2007-08,1021,Denver,Pittsburgh,31,28,3.5,4.0,38.5,38.0,190.0,-230.0,1
2007-08,1022,Jacksonville,Indianapolis,7,29,2.0,3.0,45.0,45.0,145.0,-165.0,1
2007-08,1028,St.Louis,Cleveland,20,27,3.0,3.0,44.0,46.5,130.0,-150.0,1
2007-08,1028,Chicago,Detroit,7,16,43.5,45.5,4.0,6.0,-300.0,250.0,0
2007-08,1028,Carolina,Indianapolis,7,31,5.5,7.0,44.0,43.5,275.0,-325.0,1
2007-08,1028,Tennessee,Oakland,13,9,41.5,39.0,7.5,6.5,-300.0,250.0,0
2007-08,1028,Minnesota,Philadelphia,16,23,1.5,37.5,39.5,0.0,-110.0,-110.0,2
2007-08,1028,Cincinnati,Pittsburgh,13,24,3.0,4.0,48.5,48.0,180.0,-210.0,1
2007-08,1028,NYJets,Buffalo,3,13,36.5,38.5,3.0,3.0,-155.0,135.0,0
2007-08,1028,SanDiego,HoustonTexans,35,10,45.0,45.5,11.0,10.0,-560.0,460.0,0
2007-08,1028,TampaBay,Jacksonville,23,24,33.5,32.5,4.5,3.5,-205.0,175.0,0
2007-08,1028,SanFrancisco,NewOrleans,10,31,2.5,2.0,41.0,39.5,115.0,-135.0,1
2007-08,1028,NewEngland,Washington,52,7,50.0,46.5,16.5,15.0,-1500.0,1000.0,0
2007-08,1029,Denver,GreenBay,13,19,41.5,43.5,3.0,3.0,-155.0,135.0,0
2007-08,1104,NYJets,Washington,20,23,3.5,3.5,36.0,36.0,170.0,-200.0,1
2007-08,1104,KansasCity,GreenBay,22,33,39.0,37.5,1.0,2.5,-150.0,130.0,0
2007-08,1104,TampaBay,Arizona,17,10,36.5,39.0,3.5,3.0,-190.0,160.0,0
2007-08,1104,Tennessee,Carolina,20,7,36.0,35.0,4.0,5.5,-250.0,210.0,0
2007-08,1104,Atlanta,SanFrancisco,20,16,37.0,37.0,3.0,3.5,-200.0,170.0,0
2007-08,1104,NewOrleans,Jacksonville,41,24,40.0,39.5,4.0,3.5,-200.0,170.0,0
2007-08,1104,Detroit,Denver,44,7,46.0,47.0,3.0,3.0,-150.0,130.0,0
2007-08,1104,Buffalo,Cincinnati,33,21,43.5,1.5,2.0,44.0,100.0,-120.0,1
2007-08,1104,Minnesota,SanDiego,35,17,7.0,7.0,41.0,42.0,250.0,-300.0,1
2007-08,1104,Cleveland,Seattle,33,30,47.0,46.5,2.5,1.5,-125.0,105.0,0
2007-08,1104,Indianapolis,NewEngland,20,24,4.0,4.5,57.0,56.0,180.0,-210.0,1
2007-08,1104,Oakland,HoustonTexans,17,24,42.0,41.0,3.0,3.0,-160.0,140.0,0
2007-08,1104,Philadelphia,Dallas,17,38,3.0,3.0,46.0,46.0,155.0,-175.0,1
2007-08,1105,Pittsburgh,Baltimore,38,7,37.0,36.0,7.5,9.0,-410.0,340.0,0
2007-08,1111,Tennessee,Jacksonville,13,28,35.0,36.0,5.0,5.0,-215.0,185.0,0
2007-08,1111,KansasCity,Denver,11,27,37.0,37.0,4.0,3.0,-165.0,145.0,0
2007-08,1111,Miami,Buffalo,10,13,3.0,2.5,41.0,41.0,115.0,-135.0,1
2007-08,1111,Pittsburgh,Cleveland,31,28,47.5,46.5,9.5,9.0,-450.0,370.0,0
2007-08,1111,NewOrleans,St.Louis,29,37,44.5,47.0,12.0,10.0,-505.0,405.0,0
2007-08,1111,Carolina,Atlanta,13,20,36.5,35.0,4.5,3.0,-175.0,155.0,0
2007-08,1111,Washington,Philadelphia,25,33,38.0,37.5,3.0,2.5,-150.0,130.0,0
2007-08,1111,GreenBay,Minnesota,34,0,40.5,40.5,6.5,5.5,-230.0,190.0,0
2007-08,1111,Baltimore,Cincinnati,7,21,44.5,44.0,5.5,3.0,-155.0,135.0,0
2007-08,1111,Oakland,Chicago,6,17,3.0,3.5,38.5,38.0,160.0,-190.0,1
2007-08,1111,NYGiants,Dallas,20,31,1.0,2.0,51.0,47.5,115.0,-135.0,1
2007-08,1111,Arizona,Detroit,31,21,1.0,45.0,45.5,2.5,-145.0,125.0,2
2007-08,1111,SanDiego,Indianapolis,23,21,3.0,3.5,49.0,47.0,160.0,-190.0,1
2007-08,1112,Seattle,SanFrancisco,24,0,39.5,37.5,9.5,8.5,-375.0,315.0,0
2007-08,1118,Jacksonville,SanDiego,24,17,40.5,40.5,3.0,3.0,-170.0,150.0,0
2007-08,1118,Indianapolis,KansasCity,13,10,44.5,41.5,14.5,14.5,-1500.0,1000.0,0
2007-08,1118,Minnesota,Oakland,29,22,36.5,35.5,6.5,4.5,-230.0,190.0,0
2007-08,1118,Baltimore,Cleveland,30,33,3.0,1.0,44.5,43.5,100.0,-120.0,1
2007-08,1118,NYJets,Pittsburgh,19,16,8.5,9.0,40.5,40.5,355.0,-425.0,1
2007-08,1118,Atlanta,TampaBay,7,31,3.0,3.0,35.5,35.5,155.0,-175.0,1
2007-08,1118,Cincinnati,Arizona,27,35,48.5,48.5,3.0,3.0,-175.0,155.0,0
2007-08,1118,Philadelphia,Miami,17,7,41.0,40.5,11.0,9.5,-500.0,400.0,0
2007-08,1118,Buffalo,NewEngland,10,56,14.5,15.5,47.5,46.5,750.0,-1100.0,1
2007-08,1118,Dallas,Washington,28,23,46.5,47.0,11.0,10.5,-550.0,450.0,0
2007-08,1118,HoustonTexans,NewOrleans,23,10,3.0,49.5,47.0,2.0,-130.0,110.0,2
2007-08,1118,GreenBay,Carolina,31,17,38.0,37.0,10.0,10.0,-500.0,400.0,0
2007-08,1118,Detroit,NYGiants,10,16,50.5,2.5,2.5,48.0,130.0,-150.0,1
2007-08,1118,SanFrancisco,St.Louis,9,13,3.0,3.5,41.0,39.0,170.0,-200.0,1
2007-08,1118,Seattle,Chicago,30,23,37.5,37.5,4.5,6.0,-265.0,225.0,0
2007-08,1119,Denver,Tennessee,34,20,39.5,38.0,3.0,1.0,-115.0,-105.0,0
2007-08,1122,Detroit,GreenBay,26,37,3.0,3.0,48.5,47.0,155.0,-175.0,1
2007-08,1122,Dallas,NYJets,34,3,47.5,47.5,14.5,15.5,-1600.0,1050.0,0
2007-08,1122,Atlanta,Indianapolis,13,31,12.0,14.0,42.5,42.0,600.0,-800.0,1
2007-08,1125,Chicago,Denver,37,34,41.0,42.5,2.5,1.0,-120.0,100.0,0
2007-08,1125,Cincinnati,Tennessee,35,6,47.0,47.0,0.0,1.0,-120.0,100.0,0
2007-08,1125,Jacksonville,Buffalo,36,14,36.0,37.0,7.5,8.5,-410.0,340.0,0
2007-08,1125,KansasCity,Oakland,17,20,34.5,34.5,6.0,4.0,-240.0,200.0,0
2007-08,1125,Cleveland,HoustonTexans,27,17,52.5,52.0,4.0,3.0,-175.0,155.0,0
2007-08,1125,St.Louis,Seattle,19,24,3.0,3.0,44.0,46.0,150.0,-170.0,1
2007-08,1125,NYGiants,Minnesota,17,41,41.0,40.0,7.5,7.0,-325.0,275.0,0
2007-08,1125,Carolina,NewOrleans,6,31,41.5,3.0,0.0,42.0,155.0,-175.0,1
2007-08,1125,TampaBay,Washington,19,13,36.5,38.0,3.5,3.0,-200.0,170.0,0
2007-08,1125,Arizona,SanFrancisco,31,37,38.0,37.5,10.5,10.0,-550.0,450.0,0
2007-08,1125,SanDiego,Baltimore,32,14,38.5,39.0,9.5,9.5,-475.0,395.0,0
2007-08,1125,NewEngland,Philadelphia,31,28,50.5,51.0,22.0,23.5,-3000.0,1800.0,4
2007-08,1126,Pittsburgh,Miami,3,0,43.5,37.0,16.0,15.0,-800.0,600.0,0
2007-08,1129,Dallas,GreenBay,37,27,51.5,51.5,7.0,7.0,-300.0,250.0,0
2007-08,1202,St.Louis,Atlanta,28,16,42.0,40.0,3.5,3.0,-170.0,150.0,0
2007-08,1202,Washington,Buffalo,16,17,37.5,37.0,6.5,6.5,-300.0,250.0,0
2007-08,1202,Minnesota,Detroit,42,10,45.0,44.5,3.0,5.5,-240.0,200.0,0
2007-08,1202,Tennessee,HoustonTexans,28,20,43.0,39.0,4.0,3.0,-190.0,160.0,0
2007-08,1202,Indianapolis,Jacksonville,28,25,45.0,45.0,7.0,7.0,-305.0,255.0,0
2007-08,1202,Miami,NYJets,13,40,38.0,37.0,1.0,2.0,-135.0,115.0,0
2007-08,1202,KansasCity,SanDiego,10,24,4.5,5.5,37.5,37.5,210.0,-250.0,1
2007-08,1202,Philadelphia,Seattle,24,28,43.0,40.5,3.0,3.0,-170.0,150.0,0
2007-08,1202,Carolina,SanFrancisco,31,14,35.0,35.0,2.5,3.0,-170.0,150.0,0
2007-08,1202,NewOrleans,TampaBay,23,27,42.0,41.0,3.0,6.0,-255.0,215.0,0
2007-08,1202,Arizona,Cleveland,27,21,53.0,52.0,0.0,1.0,-120.0,100.0,0
2007-08,1202,Oakland,Denver,34,20,3.5,3.5,42.0,41.0,170.0,-200.0,1
2007-08,1202,Chicago,NYGiants,16,21,2.5,39.5,43.5,0.0,-110.0,-110.0,2
2007-08,1202,Pittsburgh,Cincinnati,24,10,48.0,39.5,7.5,6.5,-270.0,230.0,0
2007-08,1203,Baltimore,NewEngland,24,27,20.0,19.5,51.5,46.5,955.0,-1505.0,1
2007-08,1206,Washington,Chicago,24,16,38.0,39.5,3.0,3.0,-175.0,155.0,0
2007-08,1209,Jacksonville,Carolina,37,6,37.5,38.5,10.5,11.0,-645.0,520.0,0
2007-08,1209,Detroit,Dallas,27,28,10.0,10.5,53.5,50.0,450.0,-550.0,1
2007-08,1209,Buffalo,Miami,38,17,37.5,34.0,7.0,6.5,-290.0,240.0,0
2007-08,1209,Philadelphia,NYGiants,13,16,42.5,42.0,3.0,3.0,-170.0,150.0,0
2007-08,1209,GreenBay,Oakland,38,7,42.0,40.0,12.5,10.0,-500.0,400.0,0
2007-08,1209,NewEngland,Pittsburgh,34,13,52.0,49.5,12.5,11.0,-525.0,425.0,0
2007-08,1209,Tennessee,SanDiego,17,23,41.0,2.0,0.0,40.0,110.0,-130.0,1
2007-08,1209,Cincinnati,St.Louis,19,10,47.0,45.5,6.0,10.0,-515.0,415.0,0
2007-08,1209,HoustonTexans,TampaBay,28,14,1.5,3.0,40.5,39.5,130.0,-150.0,1
2007-08,1209,Seattle,Arizona,42,21,44.5,44.0,6.5,8.0,-360.0,300.0,0
2007-08,1209,SanFrancisco,Minnesota,7,27,7.0,7.5,39.0,39.0,290.0,-350.0,1
2007-08,1209,NYJets,Cleveland,18,24,3.5,3.0,49.0,47.0,150.0,-170.0,1
2007-08,1209,Denver,KansasCity,41,7,37.5,37.0,6.5,7.5,-350.0,290.0,0
2007-08,1209,Baltimore,Indianapolis,20,44,9.5,9.0,44.0,42.0,330.0,-400.0,1
2007-08,1210,Atlanta,NewOrleans,14,34,4.5,4.0,42.0,44.0,175.0,-205.0,1
2007-08,1213,HoustonTexans,Denver,31,13,46.0,3.0,3.0,47.5,125.0,-145.0,1
2007-08,1215,SanFrancisco,Cincinnati,20,13,8.5,9.5,43.0,42.5,320.0,-400.0,1
2007-08,1216,NewOrleans,Arizona,31,24,46.0,49.5,3.5,4.0,-210.0,180.0,0
2007-08,1216,TampaBay,Atlanta,37,3,39.0,37.5,11.5,13.0,-800.0,600.0,0
2007-08,1216,Miami,Baltimore,22,16,3.0,3.0,37.5,37.0,155.0,-175.0,1
2007-08,1216,Cleveland,Buffalo,8,0,47.0,36.0,5.5,4.0,-215.0,185.0,0
2007-08,1216,St.Louis,GreenBay,14,33,7.5,7.0,44.5,47.0,275.0,-325.0,1
2007-08,1216,Pittsburgh,Jacksonville,22,29,38.0,35.0,5.5,3.0,-165.0,145.0,0
2007-08,1216,NewEngland,NYJets,20,10,51.0,42.0,24.5,20.0,-1400.0,900.0,0
2007-08,1216,Carolina,Seattle,13,10,7.0,7.0,37.5,37.0,275.0,-325.0,1
2007-08,1216,KansasCity,Tennessee,17,26,4.0,3.5,33.5,34.5,170.0,-200.0,1
2007-08,1216,Oakland,Indianapolis,14,21,10.5,9.5,45.0,45.0,370.0,-450.0,1
2007-08,1216,SanDiego,Detroit,51,14,47.0,45.5,9.5,9.5,-530.0,430.0,0
2007-08,1216,Dallas,Philadelphia,6,10,49.0,48.5,9.5,10.0,-500.0,400.0,0
2007-08,1216,NYGiants,Washington,10,22,41.0,36.5,3.5,6.0,-255.0,215.0,0
2007-08,1217,Minnesota,Chicago,20,13,43.0,43.5,7.0,10.5,-475.0,395.0,0
2007-08,1220,St.Louis,Pittsburgh,24,41,9.0,8.0,45.5,43.0,305.0,-365.0,1
2007-08,1222,Carolina,Dallas,13,20,13.0,10.5,44.0,42.5,500.0,-625.0,1
2007-08,1223,Cincinnati,Cleveland,19,14,2.0,2.0,49.0,43.0,110.0,-130.0,1
2007-08,1223,Chicago,GreenBay,35,7,9.0,7.5,541.0,31.5,280.0,-330.0,1
2007-08,1223,Indianapolis,HoustonTexans,38,15,48.0,45.0,9.0,6.5,-290.0,240.0,0
2007-08,1223,Detroit,KansasCity,25,20,43.0,43.5,5.0,6.0,-275.0,235.0,0
2007-08,1223,NewEngland,Miami,28,7,46.5,46.0,23.0,22.5,-2500.0,1500.0,4
2007-08,1223,Buffalo,NYGiants,21,38,36.0,2.0,0.5,31.5,110.0,-130.0,1
2007-08,1223,Jacksonville,Oakland,49,11,39.5,40.5,13.0,14.0,-1000.0,700.0,0
2007-08,1223,NewOrleans,Philadelphia,23,38,46.0,47.5,3.0,3.0,-160.0,140.0,0
2007-08,1223,Minnesota,Washington,21,32,41.0,40.5,6.5,6.0,-250.0,210.0,0
2007-08,1223,Arizona,Atlanta,30,27,43.0,44.0,10.5,11.0,-600.0,475.0,0
2007-08,1223,Seattle,Baltimore,27,6,39.0,38.5,10.5,13.0,-825.0,625.0,0
2007-08,1223,Tennessee,NYJets,10,6,38.0,37.5,9.5,8.0,-350.0,290.0,0
2007-08,1223,SanFrancisco,TampaBay,21,19,7.0,6.5,37.0,36.5,240.0,-290.0,1
2007-08,1224,SanDiego,Denver,23,3,46.0,47.0,7.5,9.0,-400.0,330.0,0
2007-08,1229,NYGiants,NewEngland,35,38,12.0,13.0,45.0,46.5,600.0,-800.0,1
2007-08,1230,Philadelphia,Buffalo,17,9,38.0,38.5,7.0,9.0,-400.0,330.0,0
2007-08,1230,TampaBay,Carolina,23,31,36.0,3.0,6.0,35.5,140.0,-160.0,1
2007-08,1230,Miami,Cincinnati,25,38,2.5,3.0,47.0,45.0,125.0,-145.0,1
2007-08,1230,Washington,Dallas,27,6,39.0,38.5,7.0,9.0,-410.0,340.0,0
2007-08,1230,GreenBay,Detroit,34,13,38.0,38.5,6.0,3.0,-190.0,160.0,0
2007-08,1230,HoustonTexans,Jacksonville,42,28,42.5,42.0,4.0,8.0,-325.0,275.0,0
2007-08,1230,Chicago,NewOrleans,33,25,3.0,42.0,37.5,1.0,-120.0,100.0,2
2007-08,1230,Baltimore,Pittsburgh,27,21,3.0,3.0,35.0,34.5,170.0,-200.0,1
2007-08,1230,Atlanta,Seattle,44,41,3.5,2.0,39.5,38.5,110.0,-130.0,1
2007-08,1230,Cleveland,SanFrancisco,20,7,40.0,41.0,13.5,11.5,-550.0,450.0,0
2007-08,1230,Indianapolis,Tennessee,10,16,43.0,4.5,3.0,41.0,185.0,-215.0,1
2007-08,1230,Denver,Minnesota,22,19,3.0,2.5,42.5,40.5,120.0,-140.0,1
2007-08,1230,Oakland,SanDiego,17,30,8.0,9.0,44.5,41.5,345.0,-415.0,1
2007-08,1230,Arizona,St.Louis,48,19,48.0,49.5,7.0,6.0,-250.0,210.0,0
2007-08,1230,NYJets,KansasCity,13,10,35.0,35.5,6.0,4.5,-215.0,185.0,0
2007-08,105,Seattle,Washington,35,14,40.0,38.5,4.0,3.0,-175.0,155.0,0
2007-08,105,Pittsburgh,Jacksonville,29,31,0.0,2.0,38.5,40.5,130.0,-150.0,1
2007-08,106,TampaBay,NYGiants,14,24,39.5,39.5,3.0,3.0,-165.0,145.0,0
2007-08,106,SanDiego,Tennessee,17,6,41.0,39.5,8.5,10.5,-600.0,475.0,0
2007-08,112,GreenBay,Seattle,42,20,43.0,44.0,7.5,7.5,-320.0,260.0,0
2007-08,112,NewEngland,Jacksonville,31,20,49.5,51.5,13.0,13.5,-750.0,550.0,0
2007-08,113,Indianapolis,SanDiego,24,28,49.0,46.5,8.0,10.5,-550.0,450.0,0
2007-08,113,Dallas,NYGiants,17,21,48.0,47.5,7.0,7.0,-290.0,240.0,0
2007-08,120,NewEngland,SanDiego,21,12,51.0,48.0,15.0,14.0,-800.0,600.0,0
2007-08,120,GreenBay,NYGiants,20,23,43.5,41.0,6.5,7.5,-305.0,255.0,0
2008-09,904,NYGiants,Washington,16,7,40.0,41.5,3.5,4.5,-210.0,175.0,0
2008-09,907,Baltimore,Cincinnati,17,10,41.0,1.5,0.0,38.0,110.0,-130.0,1
2008-09,907,Miami,NYJets,14,20,3.0,3.0,36.0,36.0,130.0,-150.0,1
2008-09,907,NewEngland,KansasCity,17,10,48.0,43.0,16.5,16.0,-1999.0,1000.0,0
2008-09,907,Pittsburgh,HoustonTexans,38,17,43.5,43.0,6.5,6.0,-280.0,240.0,0
2008-09,907,Tennessee,Jacksonville,17,10,3.0,3.0,37.0,36.5,135.0,-155.0,1
2008-09,907,Atlanta,Detroit,34,21,1.0,3.0,41.5,41.0,155.0,-175.0,1
2008-09,907,Buffalo,Seattle,34,10,39.5,38.5,0.0,1.0,-135.0,115.0,0
2008-09,907,NewOrleans,TampaBay,24,20,42.5,42.5,3.0,3.0,-170.0,150.0,0
2008-09,907,Philadelphia,St.Louis,38,3,45.5,44.0,6.5,7.5,-400.0,320.0,0
